scenario,algo,noise_mu,action_noise_std,best_reward_with_diffusion,reward_noise_no_diffusion
simple_spread,MADDPG,0,0.8,-502.14±7.33,-506.37±8.12
simple_spread,MADDPG,0,1.0,-523.17±13.54,-537.46±0.21
simple_spread,MADDPG,0,1.2,-542.07±5.79,-562.85±1.84
simple_spread,MADDPG,0,1.6,-572.25±4.89,-605.91±2.06
simple_spread,MADDPG,0,2.0,-589.43±4.11,-638.51±2.72
simple_spread,MADDPG,0,2.4,-602.09±2.84,-663.12±1.03
simple_spread,MADDPG,0,2.8,-615.35±1.69,-677.25±1.81
simple_spread,MADDPG,0,3.0,-618.85±7.21,-681.56±5.21
simple_spread,RMAAC,0,0.0,-431.26±10.84,-437.25±16.26
simple_spread,RMAAC,0,0.4,-456.85±6.69,-457.25±14.55
simple_spread,RMAAC,0,0.8,-507.23±10.68,-514.59±17.50
simple_spread,RMAAC,0,1.0,-528.30±11.59,-543.92±14.19
simple_spread,RMAAC,0,1.2,-540.17±12.52,-565.49±10.80
simple_spread,RMAAC,0,1.6,-569.63±6.31,-603.92±4.94
simple_spread,RMAAC,0,2.0,-588.86±7.22,-635.04±6.70
simple_spread,RMAAC,0,2.4,-602.00±9.98,-652.01±1.47
simple_spread,RMAAC,0,2.8,-610.64±6.63,-673.98±9.50
simple_spread,RMAAC,0,3.0,-618.31±8.86,-683.04±2.36
simple_spread,ERNIE,1,0.0,-455.67±110.29,-466.83±124.47
simple_spread,ERNIE,1,1.0,-543.17±14.56,-553.43±19.43
simple_spread,ERNIE,1,2.0,-592.96±5.27,-641.51±5.44
simple_spread,ERNIE,1,3.0,-619.56±5.03,-681.63±6.83
simple_spread,M3DDPG,1,0.0,-489.63±85.98,-496.27±94.93
simple_spread,M3DDPG,1,1.0,-534.79±9.37,-555.84±17.26
simple_spread,M3DDPG,1,2.0,-587.98±7.50,-634.58±1.34
simple_spread,M3DDPG,1,3.0,-619.17±9.24,-683.54±6.86
simple_spread,MADDPG,1,0.0,-463.93±98.73,-474.77±120.80
simple_spread,MADDPG,1,1.0,-532.33±13.74,-546.65±19.19
simple_spread,MADDPG,1,2.0,-589.02±4.91,-635.15±4.30
simple_spread,MADDPG,1,3.0,-620.09±6.89,-681.15±4.48
simple_spread,RMAAC,1,0.0,-479.35±88.70,-494.99±105.87
simple_spread,RMAAC,1,1.0,-539.00±11.98,-548.36±11.72
simple_spread,RMAAC,1,2.0,-589.30±4.19,-635.90±6.89
simple_spread,RMAAC,1,3.0,-618.81±8.01,-681.38±3.83
simple_tag,ERNIE,-1,0.0,49.06±9.66,69.20±26.25
simple_tag,ERNIE,-1,1.0,14.47±1.88,15.91±4.96
simple_tag,ERNIE,-1,2.0,6.62±2.24,3.06±0.47
simple_tag,ERNIE,-1,3.0,3.26±3.25,-1.60±1.31
simple_tag,M3DDPG,-1,0.0,39.80±13.15,58.02±5.98
simple_tag,M3DDPG,-1,1.0,14.87±3.52,18.94±5.50
simple_tag,M3DDPG,-1,2.0,6.29±2.86,2.83±2.36
simple_tag,M3DDPG,-1,3.0,3.65±4.64,-1.81±1.43
simple_tag,MADDPG,-1,0.0,29.63±10.18,58.04±6.91
simple_tag,MADDPG,-1,1.0,12.73±2.79,14.09±2.58
simple_tag,MADDPG,-1,2.0,6.00±2.47,3.76±1.25
simple_tag,MADDPG,-1,3.0,3.75±2.98,-1.52±0.89
simple_tag,RMAAC,-1,0.0,74.36±10.43,99.28±3.06
simple_tag,RMAAC,-1,1.0,26.28±6.42,23.25±1.74
simple_tag,RMAAC,-1,2.0,11.72±3.66,9.37±1.44
simple_tag,RMAAC,-1,3.0,8.52±3.57,2.26±1.17
simple_tag,ERNIE,0,0.0,55.95±14.81,70.05±23.41
